"Year","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2020","Alabama","793","4,921,532","16.11","15.91","16,261"
"2020","Alaska","204","731,158","27.90","27.18","5,460"
"2020","Arizona","1,363","7,421,401","18.37","17.63","27,300"
"2020","Arkansas","583","3,030,522","19.24","19.15","12,603"
"2020","California","4,144","39,368,078","10.53","9.98","80,707"
"2020","Colorado","1,302","5,807,719","22.42","21.54","28,997"
"2020","Connecticut","364","3,557,006","10.23","9.33","5,982"
"2020","Delaware","124","986,809","12.57","12.14","2,367"
"2020","District of Columbia","38","712,816","5.33","5.45","818"
"2020","Florida","3,135","21,733,312","14.43","13.12","53,078"
"2020","Georgia","1,491","10,710,017","13.92","13.69","32,953"
"2020","Hawaii","184","1,407,006","13.08","12.90","3,738"
"2020","Idaho","419","1,826,913","22.94","23.23","9,271"
"2020","Illinois","1,362","12,587,530","10.82","10.53","28,876"
"2020","Indiana","1,024","6,754,953","15.16","15.03","22,390"
"2020","Iowa","552","3,163,561","17.45","18.08","11,869"
"2020","Kansas","531","2,913,805","18.22","18.37","12,673"
"2020","Kentucky","801","4,477,251","17.89","17.74","16,744"
"2020","Louisiana","642","4,645,318","13.82","13.78","13,543"
"2020","Maine","234","1,350,141","17.33","16.31","4,169"
"2020","Maryland","585","6,055,802","9.66","9.22","11,520"
"2020","Massachusetts","618","6,893,574","8.97","8.35","11,685"
"2020","Michigan","1,444","9,966,555","14.49","13.92","28,578"
"2020","Minnesota","758","5,657,342","13.40","13.08","15,532"
"2020","Mississippi","410","2,966,786","13.82","13.91","8,819"
"2020","Missouri","1,125","6,151,548","18.29","18.13","24,079"
"2020","Montana","300","1,080,577","27.76","25.88","5,711"
"2020","Nebraska","283","1,937,552","14.61","14.86","6,425"
"2020","Nevada","603","3,138,259","19.21","18.22","10,951"
"2020","New Hampshire","234","1,366,275","17.13","16.37","4,685"
"2020","New Jersey","679","8,882,371","7.64","7.10","12,389"
"2020","New Mexico","516","2,106,319","24.50","24.18","11,423"
"2020","New York","1,642","19,336,776","8.49","8.00","30,851"
"2020","North Carolina","1,441","10,600,823","13.59","13.20","29,835"
"2020","North Dakota","135","765,309","17.64","18.09","3,358"
"2020","Ohio","1,644","11,693,217","14.06","13.75","33,893"
"2020","Oklahoma","869","3,980,783","21.83","21.88","19,248"
"2020","Oregon","833","4,241,507","19.64","18.28","15,605"
"2020","Pennsylvania","1,694","12,783,254","13.25","12.55","31,784"
"2020","Rhode Island","94","1,057,125","8.89","8.39","1,798"
"2020","South Carolina","868","5,218,040","16.64","16.27","18,313"
"2020","South Dakota","186","892,717","20.84","21.10","4,436"
"2020","Tennessee","1,220","6,886,834","17.72","17.13","24,098"
"2020","Texas","3,924","29,360,759","13.37","13.33","90,751"
"2020","Utah","651","3,249,879","20.03","20.81","16,327"
"2020","Vermont","117","623,347","18.77","17.85","2,365"
"2020","Virginia","1,202","8,590,563","13.99","13.44","24,978"
"2020","Washington","1,212","7,693,612","15.75","15.16","24,882"
"2020","West Virginia","354","1,784,787","19.83","19.45","7,059"
"2020","Wisconsin","866","5,832,655","14.85","14.54","17,636"
"2020","Wyoming","182","582,328","31.25","30.46","3,618"
"2019","Alabama","804","4,907,965","16.38","16.26","16,079"
"2019","Alaska","210","733,603","28.63","28.44","5,857"
"2019","Arizona","1,419","7,291,843","19.46","18.56","26,547"
"2019","Arkansas","548","3,020,985","18.14","17.95","11,532"
"2019","California","4,436","39,437,610","11.25","10.66","83,865"
"2019","Colorado","1,312","5,758,486","22.78","22.09","29,297"
"2019","Connecticut","435","3,566,022","12.20","11.36","7,983"
"2019","Delaware","111","976,668","11.37","11.22","2,129"
"2019","District of Columbia","44","708,253","6.21","6.06","1,005"
"2019","Florida","3,465","21,492,056","16.12","14.49","55,003"
"2019","Georgia","1,585","10,628,020","14.91","14.65","33,154"
"2019","Hawaii","224","1,415,615","15.82","15.67","4,702"
"2019","Idaho","365","1,789,060","20.40","20.27","7,439"
"2019","Illinois","1,439","12,667,017","11.36","10.88","28,161"
"2019","Indiana","972","6,731,010","14.44","14.21","19,812"
"2019","Iowa","528","3,159,596","16.71","16.67","11,470"
"2019","Kansas","523","2,912,635","17.96","18.14","11,994"
"2019","Kentucky","756","4,472,345","16.90","16.48","15,138"
"2019","Louisiana","704","4,658,285","15.11","15.03","14,476"
"2019","Maine","276","1,345,770","20.51","19.39","4,863"
"2019","Maryland","657","6,054,954","10.85","10.28","12,812"
"2019","Massachusetts","647","6,894,883","9.38","8.63","12,031"
"2019","Michigan","1,472","9,984,795","14.74","14.28","29,237"
"2019","Minnesota","830","5,640,053","14.72","14.46","17,475"
"2019","Mississippi","436","2,978,227","14.64","14.46","8,963"
"2019","Missouri","1,141","6,140,475","18.58","18.21","23,525"
"2019","Montana","289","1,070,123","27.01","26.12","5,892"
"2019","Nebraska","309","1,932,571","15.99","15.99","6,309"
"2019","Nevada","642","3,090,771","20.77","19.71","11,775"
"2019","New Hampshire","255","1,360,783","18.74","17.32","4,927"
"2019","New Jersey","762","8,891,258","8.57","8.02","14,188"
"2019","New Mexico","513","2,099,634","24.43","24.03","11,084"
"2019","New York","1,705","19,463,131","8.76","8.26","33,782"
"2019","North Carolina","1,358","10,501,384","12.93","12.50","26,918"
"2019","North Dakota","136","763,724","17.81","18.45","3,180"
"2019","Ohio","1,806","11,696,507","15.44","15.13","36,449"
"2019","Oklahoma","816","3,960,676","20.60","20.46","17,418"
"2019","Oregon","906","4,216,116","21.49","20.25","17,321"
"2019","Pennsylvania","1,896","12,798,883","14.81","14.05","34,849"
"2019","Rhode Island","123","1,058,158","11.62","10.78","2,073"
"2019","South Carolina","852","5,157,702","16.52","16.15","17,353"
"2019","South Dakota","182","887,127","20.52","20.92","4,632"
"2019","Tennessee","1,219","6,830,325","17.85","17.20","23,327"
"2019","Texas","3,891","28,986,794","13.42","13.39","86,083"
"2019","Utah","654","3,203,383","20.42","21.25","16,668"
"2019","Vermont","110","624,046","17.63","16.03","1,944"
"2019","Virginia","1,140","8,556,642","13.32","12.77","23,072"
"2019","Washington","1,263","7,614,024","16.59","15.89","24,087"
"2019","West Virginia","330","1,795,263","18.38","18.54","6,808"
"2019","Wisconsin","845","5,824,581","14.51","13.99","16,590"
"2019","Wyoming","170","580,116","29.30","29.51","3,415"
"2018","Alabama","823","4,891,628","16.83","16.47","17,092"
"2018","Alaska","184","736,624","24.98","24.45","4,806"
"2018","Arizona","1,438","7,164,228","20.07","19.22","27,938"
"2018","Arkansas","554","3,012,161","18.39","18.37","11,608"
"2018","California","4,491","39,437,463","11.39","10.85","84,137"
"2018","Colorado","1,282","5,697,155","22.50","21.81","28,595"
"2018","Connecticut","419","3,574,561","11.72","10.53","6,798"
"2018","Delaware","113","966,985","11.69","11.47","2,642"
"2018","District of Columbia","54","704,147","7.67","7.34","1,159"
"2018","Florida","3,567","21,254,926","16.78","15.17","56,052"
"2018","Georgia","1,569","10,519,389","14.92","14.54","32,720"
"2018","Hawaii","176","1,423,102","12.37","11.74","3,480"
"2018","Idaho","417","1,752,074","23.80","23.93","9,199"
"2018","Illinois","1,488","12,724,685","11.69","11.33","30,784"
"2018","Indiana","1,079","6,698,481","16.11","15.95","23,559"
"2018","Iowa","490","3,149,900","15.56","15.49","10,179"
"2018","Kansas","556","2,912,748","19.09","19.23","13,091"
"2018","Kentucky","800","4,464,273","17.92","17.43","15,878"
"2018","Louisiana","720","4,664,450","15.44","15.14","14,652"
"2018","Maine","270","1,340,123","20.15","18.42","4,699"
"2018","Maryland","650","6,042,153","10.76","10.15","12,299"
"2018","Massachusetts","740","6,885,720","10.75","9.95","13,705"
"2018","Michigan","1,548","9,987,286","15.50","15.06","32,172"
"2018","Minnesota","739","5,608,762","13.18","13.10","16,555"
"2018","Mississippi","421","2,982,879","14.11","13.71","8,390"
"2018","Missouri","1,230","6,125,986","20.08","19.49","25,412"
"2018","Montana","265","1,061,818","24.96","24.85","5,786"
"2018","Nebraska","271","1,925,512","14.07","13.43","5,363"
"2018","Nevada","657","3,030,725","21.68","20.86","12,271"
"2018","New Hampshire","279","1,355,064","20.59","19.28","5,199"
"2018","New Jersey","778","8,891,730","8.75","8.28","14,766"
"2018","New Mexico","536","2,093,754","25.60","25.00","11,544"
"2018","New York","1,723","19,544,098","8.82","8.28","33,042"
"2018","North Carolina","1,494","10,391,358","14.38","13.71","28,575"
"2018","North Dakota","147","760,062","19.34","18.75","3,674"
"2018","Ohio","1,838","11,680,892","15.74","15.25","37,143"
